CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615          749612      1512745381       279994430      1513280900 L1-dcache-prefetches
 -1     1615          928710      1512751400       223997405      1513280900 L1-dcache-store-misses
 -1     1615        84909528      1512757468       223999073      1513280900 L1-dcache-stores
 -1     1615        26169814      1512763437       223998178      1513280900 L1-icache-load-misses
 -1     1615       195957425      1512769431       223999428      1513280900 L1-icache-loads
 -1     1615           38373      1512775460       223997217      1513280900 LLC-load-misses
 -1     1615          197087      1512781505       223996774      1513280900 LLC-loads
 -1     1615           98337      1512787527       223996889      1513280900 dTLB-load-misses
 -1     1615       163643922      1512794883       223997527      1513280900 dTLB-loads
 -1     1615           15980      1512798520       223996108      1513280900 dTLB-store-misses
 -1     1615        84825315      1512802142       223996964      1513280900 dTLB-stores
 -1     1615           24077      1512805686       224000510      1513280900 iTLB-load-misses
 -1     1615       601660603      1512809257       223996987      1513280900 iTLB-loads
 -1     1615        78975969      1512812770       223997435      1513280900 branch-load-misses
 -1     1615       120413415      1512816364       223997144      1513280900 branch-loads
 -1     1615               0      1512819939       223994337      1513280900 mem-loads
 -1     1615        93558633      1512823582       224057290      1513280900 stalled-cycles-backend
 -1     1615       212238542      1512827268       223964375      1513280900 stalled-cycles-frontend
 -1     1615       125601907      1613574643       233668937      1614206656 branches
 -1     1615         1556679      1613600254       233692109      1614206656 branch-misses
 -1     1615         1002122      1613610903       234448347      1614206656 cache-references
 -1     1615          427162      1613617326       238536635      1614206656 cache-misses
 -1     1615       508665255      1613623478       239920153      1614206656 cycles
 -1     1615       799265885      1613629630       299917847      1614206656 instructions
 -1     1615         3338140      1613635692       299922880      1614206656 L1-dcache-load-misses
 -1     1615       219599545      1613641817       299976816      1614206656 L1-dcache-loads
 -1     1615          106910      1613647842       299980707      1614206656 L1-dcache-prefetch-misses
 -1     1615          812439      1613654088       299994024      1614206656 L1-dcache-prefetches
 -1     1615          993374      1613660113       239996963      1614206656 L1-dcache-store-misses
 -1     1615        91043618      1613666218       239998691      1614206656 L1-dcache-stores
 -1     1615        28090935      1613672103       239998048      1614206656 L1-icache-load-misses
 -1     1615       210234240      1613678081       239999666      1614206656 L1-icache-loads
